unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1640908800,2021-12-31 00:00:00,BTC/USD,47110.30,48589.47,45655.31,46214.37,1798.55260406,83118975.50849235
1640822400,2021-12-30 00:00:00,BTC/USD,46474.59,47916.32,45934.37,47150.71,2162.27044303,101952586.60087904
1640736000,2021-12-29 00:00:00,BTC/USD,47597.70,48157.41,46099.94,46483.36,2089.30815829,97118063.27273105
1640649600,2021-12-28 00:00:00,BTC/USD,50708.05,50719.59,47300.00,47543.30,2215.26863352,105321181.22403143
1640563200,2021-12-27 00:00:00,BTC/USD,50885.32,52098.60,50479.44,50718.11,1102.98343745,55941235.30876723
1640476800,2021-12-26 00:00:00,BTC/USD,50421.51,51292.65,49458.85,50791.21,1015.22197466,51564352.51157074
1640390400,2021-12-25 00:00:00,BTC/USD,50857.42,51179.36,50190.90,50442.22,823.04872916,41516405.067009136
1640304000,2021-12-24 00:00:00,BTC/USD,50850.00,51864.56,50442.34,50841.48,1446.08883091,73521296.37493415
1640217600,2021-12-23 00:00:00,BTC/USD,48618.99,51386.66,48051.10,50850.00,1715.35802664,87225955.654644
1640131200,2021-12-22 00:00:00,BTC/USD,48907.75,49600.00,48449.87,48618.99,1306.16574192,63504459.144751064
1640044800,2021-12-21 00:00:00,BTC/USD,46926.72,49353.49,46667.08,48929.86,1674.16446918,81916633.09395172
1639958400,2021-12-20 00:00:00,BTC/USD,46671.66,47547.50,45572.94,46915.00,1726.01603262,80976042.1703673
1639872000,2021-12-19 00:00:00,BTC/USD,46854.18,48307.34,46450.00,46704.67,1275.49937089,59571777.20262505
1639785600,2021-12-18 00:00:00,BTC/USD,46141.63,47370.14,45501.00,46881.87,827.39374258,38789765.87844902
1639699200,2021-12-17 00:00:00,BTC/USD,47654.99,48018.52,45478.74,46210.92,2077.28024679,95993031.30199295
1639612800,2021-12-16 00:00:00,BTC/USD,48876.84,49449.00,47506.21,47663.42,1456.25725801,69410201.31657898
1639526400,2021-12-15 00:00:00,BTC/USD,48386.95,49514.85,46560.00,48876.84,2593.35180959,126754841.46104088
1639440000,2021-12-14 00:00:00,BTC/USD,46736.70,48689.30,46310.40,48389.96,2016.58981458,97582700.46393362
1639353600,2021-12-13 00:00:00,BTC/USD,50102.31,50226.20,45750.00,46725.02,3337.44792896,155942321.22961456
1639267200,2021-12-12 00:00:00,BTC/USD,49420.51,50800.00,48675.00,50124.38,1233.78838616,61842877.907470584
1639180800,2021-12-11 00:00:00,BTC/USD,47179.53,49539.40,46789.00,49400.54,1323.03955982,65358868.696470305
1639094400,2021-12-10 00:00:00,BTC/USD,47573.43,50132.88,46886.00,47142.42,2705.17070403,127528293.50107794
1639008000,2021-12-09 00:00:00,BTC/USD,50535.15,50839.01,47332.43,47593.12,2585.43270776,123048809.11234662
1638921600,2021-12-08 00:00:00,BTC/USD,50635.87,51249.41,48656.20,50543.30,1598.43571319,80790215.78247613
1638835200,2021-12-07 00:00:00,BTC/USD,50550.09,51991.00,50062.13,50627.32,1719.31761862,87044443.25951271
1638748800,2021-12-06 00:00:00,BTC/USD,49484.00,50986.00,47111.00,50555.00,4652.11767659,235187809.14000744
1638662400,2021-12-05 00:00:00,BTC/USD,49240.81,49777.62,47836.34,49463.22,5156.66613697,255065311.59949723
1638576000,2021-12-04 00:00:00,BTC/USD,53685.47,53877.77,41967.50,49234.97,10025.68966854,493614530.05987686
1638489600,2021-12-03 00:00:00,BTC/USD,56534.26,57652.00,51556.01,53743.69,2964.76818531,159337582.2731632
1638403200,2021-12-02 00:00:00,BTC/USD,57232.71,57413.52,55839.85,56547.96,2758.14469791,155967456.05162677
1638316800,2021-12-01 00:00:00,BTC/USD,57027.28,59099.64,56469.22,57251.59,2515.54071956,144018705.9045541
1638230400,2021-11-30 00:00:00,BTC/USD,57843.33,59250.00,55918.80,56974.12,3562.71762735,202982701.6267542
1638144000,2021-11-29 00:00:00,BTC/USD,57327.32,58931.07,56750.00,57845.12,2069.73496900,119724067.65000129
1638057600,2021-11-28 00:00:00,BTC/USD,54764.24,57482.42,53308.93,57338.55,1377.55454862,78986980.36377531
1637971200,2021-11-27 00:00:00,BTC/USD,53794.32,55382.00,53653.45,54774.66,1360.56586778,74524532.81525446
1637884800,2021-11-26 00:00:00,BTC/USD,59004.88,59207.36,53524.03,53789.35,5221.84056738,280879409.9230014
1637798400,2021-11-25 00:00:00,BTC/USD,57169.19,59445.45,57044.42,58990.14,1362.17480499,80354882.4508328
1637712000,2021-11-24 00:00:00,BTC/USD,57583.91,57750.20,55894.62,57185.06,1809.45432912,103473754.37798694
1637625600,2021-11-23 00:00:00,BTC/USD,56283.80,57897.54,55128.60,57579.99,2732.08480061,157313415.4982758
1637539200,2021-11-22 00:00:00,BTC/USD,58679.27,59516.78,55628.57,56294.11,2943.16337271,165682762.65130776
1637452800,2021-11-21 00:00:00,BTC/USD,59785.85,60090.55,58525.84,58678.47,895.67509480,52556844.17996896
1637366400,2021-11-20 00:00:00,BTC/USD,58126.46,59896.54,57424.27,59768.54,1172.15930996,70058250.60371666
1637280000,2021-11-19 00:00:00,BTC/USD,56924.94,58402.05,55640.00,58128.55,3277.02585927,190488761.5118692
1637193600,2021-11-18 00:00:00,BTC/USD,60376.94,60978.39,56516.44,56917.66,6160.70975752,350653183.3372058
1637107200,2021-11-17 00:00:00,BTC/USD,60115.12,60888.50,58400.00,60373.65,3716.81055911,224397419.81201148
1637020800,2021-11-16 00:00:00,BTC/USD,63621.61,63628.00,58563.00,60142.31,4632.77331708,278625688.9955537
1636934400,2021-11-15 00:00:00,BTC/USD,65509.87,66387.40,63348.91,63606.09,2000.82362240,127264567.4005004
1636848000,2021-11-14 00:00:00,BTC/USD,64403.43,65509.87,63595.76,65509.87,1247.88451724,81748752.49940516
1636761600,2021-11-13 00:00:00,BTC/USD,64140.23,64980.00,63400.00,64417.52,830.13101807,53474981.459144585
1636675200,2021-11-12 00:00:00,BTC/USD,64783.13,65497.53,62294.84,64158.41,2519.30730563,161634751.03060487
1636588800,2021-11-11 00:00:00,BTC/USD,64919.18,65625.44,64140.00,64821.33,1583.28379977,102630561.6685451
1636502400,2021-11-10 00:00:00,BTC/USD,66928.42,69000.00,62856.71,64921.43,3419.11869317,221974074.90032762
1636416000,2021-11-09 00:00:00,BTC/USD,67547.49,68564.40,66250.00,66945.72,2136.85836086,143053521.50579253
1636329600,2021-11-08 00:00:00,BTC/USD,63300.00,67803.55,63300.00,67559.00,2715.42386367,183451320.80568156
1636243200,2021-11-07 00:00:00,BTC/USD,61542.43,63300.00,61396.57,63300.00,1115.66885061,70621838.24361299
1636156800,2021-11-06 00:00:00,BTC/USD,61008.19,61609.50,60109.91,61542.44,1268.51181970,78067312.55317807
1636070400,2021-11-05 00:00:00,BTC/USD,61430.02,62666.52,60769.17,61031.91,1569.40792218,95783963.05977677
1635984000,2021-11-04 00:00:00,BTC/USD,62945.38,63136.82,60725.00,61457.25,1507.54272229,92649429.9694571
1635897600,2021-11-03 00:00:00,BTC/USD,63260.00,63567.21,60018.46,62930.72,2148.47086339,135204818.33215433
1635811200,2021-11-02 00:00:00,BTC/USD,60949.78,64300.00,60669.91,63260.00,3336.52681752,211068686.4763152
1635724800,2021-11-01 00:00:00,BTC/USD,61356.57,62500.00,59500.00,60922.85,2507.39797107,152757830.48180196
1635638400,2021-10-31 00:00:00,BTC/USD,61904.96,62438.85,60000.00,61359.44,1548.12901591,94992329.46398869
1635552000,2021-10-30 00:00:00,BTC/USD,62278.92,62376.32,60660.02,61932.30,1542.31917477,95519373.82760808
1635465600,2021-10-29 00:00:00,BTC/USD,60608.95,62971.54,60154.53,62301.59,3884.64236172,242019395.7165111
1635379200,2021-10-28 00:00:00,BTC/USD,58471.06,62524.00,56425.00,60592.76,3769.75506439,228419863.87536782
1635292800,2021-10-27 00:00:00,BTC/USD,60331.40,61489.00,58100.01,58465.90,3479.73809611,203446019.55335763
1635206400,2021-10-26 00:00:00,BTC/USD,63101.43,63299.30,59830.00,60328.22,1965.54522515,118577844.76279874
1635120000,2021-10-25 00:00:00,BTC/USD,60883.96,63733.93,60670.00,63101.43,1730.14621615,109174700.3481541
1635033600,2021-10-24 00:00:00,BTC/USD,61306.64,61497.33,59510.00,60910.16,1204.84773547,73387468.34311539
1634947200,2021-10-23 00:00:00,BTC/USD,60698.54,61737.38,59633.61,61338.76,1056.07965827,64778616.699505545
1634860800,2021-10-22 00:00:00,BTC/USD,62207.51,63757.28,59953.74,60702.68,3159.42528548,191785582.0884011
1634774400,2021-10-21 00:00:00,BTC/USD,66027.81,66664.10,61850.00,62219.44,3891.52853281,242128726.05545983
1634688000,2021-10-20 00:00:00,BTC/USD,64282.20,67016.50,63529.00,65990.31,3070.68430005,202635408.8724325
1634601600,2021-10-19 00:00:00,BTC/USD,62014.99,64499.00,61350.00,64241.61,3253.73979225,209025482.77520552
1634515200,2021-10-18 00:00:00,BTC/USD,61519.52,62679.00,59013.00,62034.65,5754.55184160,356981609.4005115
1634428800,2021-10-17 00:00:00,BTC/USD,60885.27,61712.00,58933.00,61538.97,1261.12996084,77608638.82623394
1634342400,2021-10-16 00:00:00,BTC/USD,61703.45,62352.00,60100.27,60870.26,1263.44800176,76906408.36361165
1634256000,2021-10-15 00:00:00,BTC/USD,57370.48,62944.94,56877.00,61657.35,4205.42307030,259295242.14356172
