unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1577833200,2019-12-31 23:00:00,BTC/USD,7171.33,7182.49,7160.0,7168.36,253450.03,35.35
1577829600,2019-12-31 22:00:00,BTC/USD,7160.99,7186.35,7153.58,7171.33,453070.56,63.21
1577826000,2019-12-31 21:00:00,BTC/USD,7148.02,7160.99,7139.39,7160.99,398068.04,55.67
1577822400,2019-12-31 20:00:00,BTC/USD,7146.74,7161.21,7137.0,7148.02,546252.66,76.43
1577818800,2019-12-31 19:00:00,BTC/USD,7139.78,7157.28,7129.55,7146.74,337942.31,47.28
1577815200,2019-12-31 18:00:00,BTC/USD,7137.13,7148.82,7112.55,7139.78,644814.3,90.4
1577811600,2019-12-31 17:00:00,BTC/USD,7190.72,7190.72,7120.0,7137.13,1634174.02,228.56
1577808000,2019-12-31 16:00:00,BTC/USD,7169.8,7199.83,7161.1,7190.72,2146904.7,299.04
1577804400,2019-12-31 15:00:00,BTC/USD,7215.38,7238.12,7164.0,7169.8,3109415.69,432.7
1577800800,2019-12-31 14:00:00,BTC/USD,7220.0,7302.35,7207.51,7215.38,1698205.02,234.2
1577797200,2019-12-31 13:00:00,BTC/USD,7231.04,7237.74,7217.79,7220.0,363880.3,50.35
1577793600,2019-12-31 12:00:00,BTC/USD,7222.62,7231.04,7200.1,7231.04,597531.88,82.81
1577790000,2019-12-31 11:00:00,BTC/USD,7224.27,7232.09,7213.23,7222.62,496328.39,68.71
1577786400,2019-12-31 10:00:00,BTC/USD,7202.96,7233.37,7188.04,7224.27,1219163.36,169.09
1577782800,2019-12-31 09:00:00,BTC/USD,7211.65,7220.16,7194.0,7202.96,627857.43,87.12
1577779200,2019-12-31 08:00:00,BTC/USD,7231.85,7234.3,7204.72,7211.65,533451.36,73.92
1577775600,2019-12-31 07:00:00,BTC/USD,7228.84,7237.51,7214.0,7231.85,407203.52,56.36
1577772000,2019-12-31 06:00:00,BTC/USD,7245.74,7245.74,7220.53,7228.84,301785.53,41.72
1577768400,2019-12-31 05:00:00,BTC/USD,7215.36,7247.11,7215.17,7245.74,219025.5,30.26
1577764800,2019-12-31 04:00:00,BTC/USD,7211.99,7239.35,7199.16,7215.36,278323.98,38.51
1577761200,2019-12-31 03:00:00,BTC/USD,7214.2,7225.0,7195.32,7211.99,275431.59,38.2
1577757600,2019-12-31 02:00:00,BTC/USD,7237.29,7241.88,7199.46,7214.2,159901.41,22.15
1577754000,2019-12-31 01:00:00,BTC/USD,7233.54,7246.89,7220.0,7237.29,180065.91,24.9
1577750400,2019-12-31 00:00:00,BTC/USD,7220.24,7233.54,7174.42,7233.54,2102299.83,291.76
1577746800,2019-12-30 23:00:00,BTC/USD,7259.47,7267.63,7215.0,7220.24,333620.79,46.06
1577743200,2019-12-30 22:00:00,BTC/USD,7243.58,7266.92,7239.87,7259.47,2020197.75,278.81
1577739600,2019-12-30 21:00:00,BTC/USD,7246.14,7265.0,7230.44,7243.58,1364505.72,188.45
1577736000,2019-12-30 20:00:00,BTC/USD,7212.11,7261.75,7207.76,7246.14,1427924.49,197.15
1577732400,2019-12-30 19:00:00,BTC/USD,7223.57,7231.03,7206.13,7212.11,958381.04,132.79
1577728800,2019-12-30 18:00:00,BTC/USD,7242.07,7242.07,7221.63,7223.57,1283947.29,177.59
1577725200,2019-12-30 17:00:00,BTC/USD,7233.24,7245.74,7213.78,7242.07,1876735.27,259.64
1577721600,2019-12-30 16:00:00,BTC/USD,7242.4,7248.23,7199.0,7233.24,1238360.4,171.42
1577718000,2019-12-30 15:00:00,BTC/USD,7284.79,7285.79,7232.31,7242.4,1873278.57,258.05
1577714400,2019-12-30 14:00:00,BTC/USD,7303.65,7317.64,7280.03,7284.79,720327.75,98.69
1577710800,2019-12-30 13:00:00,BTC/USD,7281.52,7331.03,7265.98,7303.65,3174025.26,435.2
1577707200,2019-12-30 12:00:00,BTC/USD,7297.16,7316.0,7280.01,7281.52,1367586.87,187.34
1577703600,2019-12-30 11:00:00,BTC/USD,7286.5,7306.19,7276.43,7297.16,843615.95,115.57
1577700000,2019-12-30 10:00:00,BTC/USD,7312.54,7331.66,7274.14,7286.5,2006444.47,275.03
1577696400,2019-12-30 09:00:00,BTC/USD,7348.93,7358.34,7306.29,7312.54,1532132.2,208.99
1577692800,2019-12-30 08:00:00,BTC/USD,7364.66,7365.0,7318.64,7348.93,1148565.2,156.42
