unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1640991600,2021-12-31 23:00:00,BTC/USD,46322.70,46488.57,46140.00,46214.37,38.01917008,1757031.9931700497
1640988000,2021-12-31 22:00:00,BTC/USD,46342.34,46560.81,46254.81,46322.70,55.45108467,2568643.959843009
1640984400,2021-12-31 21:00:00,BTC/USD,45904.24,46516.01,45774.79,46329.19,69.86459176,3236769.9459214746
1640980800,2021-12-31 20:00:00,BTC/USD,45703.05,46208.92,45655.31,45876.39,94.21193022,4322103.253425506
1640977200,2021-12-31 19:00:00,BTC/USD,46659.24,46674.91,45666.00,45703.05,227.61868759,10402868.25986015
1640973600,2021-12-31 18:00:00,BTC/USD,46974.42,47024.50,46494.35,46648.83,107.50907029,5015172.343416261
1640970000,2021-12-31 17:00:00,BTC/USD,47450.00,47561.52,46888.00,47031.40,107.96097586,5077555.8400620045
1640966400,2021-12-31 16:00:00,BTC/USD,47970.83,48109.99,47436.87,47493.59,76.99836899,3656928.967479774
1640962800,2021-12-31 15:00:00,BTC/USD,48014.87,48105.70,47853.47,47951.93,70.55581061,3383287.291463977
1640959200,2021-12-31 14:00:00,BTC/USD,47939.47,48146.05,47846.34,47998.28,31.22185602,1498595.3873676455
1640955600,2021-12-31 13:00:00,BTC/USD,47992.04,48083.53,47888.88,47951.95,29.27068353,1403586.3530963834
1640952000,2021-12-31 12:00:00,BTC/USD,48010.08,48120.66,47840.00,47993.07,32.50463220,1559997.088498854
1640948400,2021-12-31 11:00:00,BTC/USD,48027.42,48218.17,47920.00,47989.61,29.45301904,1413438.8970521744
1640944800,2021-12-31 10:00:00,BTC/USD,48320.75,48546.60,47940.00,48046.32,153.34600295,7367711.128456645
1640941200,2021-12-31 09:00:00,BTC/USD,48500.00,48589.47,48258.79,48311.07,70.10296895,3386749.4401512765
1640937600,2021-12-31 08:00:00,BTC/USD,47199.00,48563.57,47084.06,48452.54,175.29183758,8493334.772018453
1640934000,2021-12-31 07:00:00,BTC/USD,47413.63,47483.74,46824.29,47178.94,98.13220849,4629773.5764172
1640930400,2021-12-31 06:00:00,BTC/USD,47279.08,47560.04,47168.57,47406.83,58.39742924,2768437.0004177094
1640926800,2021-12-31 05:00:00,BTC/USD,47365.50,47409.52,47219.96,47301.19,52.86635097,2500641.3118386543
